frame,t,x3d,y3d,z3d,vx,vy,vz,speed,ax,ay,az
28,0.9333333333333333,1.3846153846153846,6.769230769230769,3.009961538461538,4.615384615384615,-0.7692307692307692,1.8950384615384621,5.048233542039275,0.0,0.0,-9.81
29,0.9666666666666667,1.5384615384615388,6.743589743589744,3.0676794871794875,4.615384615384615,-0.7692307692307692,1.5680384615384622,4.934798449898866,0.0,0.0,-9.81
30,1.0,1.6923076923076923,6.717948717948718,3.1144974358974356,4.615384615384615,-0.7692307692307692,1.2410384615384622,4.84083335669367,0.0,0.0,-9.81
31,1.0333333333333334,1.8461538461538467,6.6923076923076925,3.150415384615385,4.615384615384615,-0.7692307692307692,0.9140384615384605,4.767489636426276,0.0,0.0,-9.81
32,1.0666666666666667,2.0,6.666666666666667,3.1754333333333338,4.615384615384615,-0.7692307692307692,0.5870384615384623,4.71572955963187,0.0,0.0,-9.81
33,1.1,2.153846153846154,6.6410256410256405,3.189551282051282,4.615384615384615,-0.7692307692307692,0.26003846153846055,4.6862683582718185,0.0,0.0,-9.81
34,1.1333333333333333,2.3076923076923075,6.615384615384615,3.192769230769231,4.615384615384615,-0.7692307692307692,-0.06696153846153763,4.679527216706137,0.0,0.0,-9.81
35,1.1666666666666667,2.4615384615384617,6.589743589743589,3.1850871794871796,4.615384615384615,-0.7692307692307692,-0.39396153846153936,4.695603988630998,0.0,0.0,-9.81
36,1.2,2.615384615384615,6.564102564102564,3.1665051282051278,4.615384615384615,-0.7692307692307692,-0.7209615384615375,4.73426622236236,0.0,0.0,-9.81
37,1.2333333333333334,2.769230769230769,6.538461538461538,3.137023076923077,4.615384615384615,-0.7692307692307692,-1.0479615384615393,4.79496762349393,0.0,0.0,-9.81
38,1.2666666666666666,2.9230769230769225,6.512820512820513,3.096641025641026,4.615384615384615,-0.7692307692307692,-1.3749615384615375,4.8768853130362695,0.0,0.0,-9.81
39,1.3,3.0769230769230775,6.487179487179487,3.045358974358974,4.615384615384615,-0.7692307692307692,-1.7019615384615392,4.97897220344347,0.0,0.0,-9.81
40,1.3333333333333333,3.230769230769231,6.461538461538462,2.9831769230769227,4.615384615384615,-0.7692307692307692,-2.0289615384615374,5.100017259658693,0.0,0.0,-9.81
41,1.3666666666666667,3.3846153846153846,6.435897435897436,2.910094871794872,4.615384615384615,-0.7692307692307692,-2.355961538461539,5.238706509718827,0.0,0.0,-9.81
42,1.4,3.538461538461538,6.410256410256411,2.826112820512821,4.615384615384615,-0.7692307692307692,-2.6829615384615373,5.393679054330565,0.0,0.0,-9.81
43,1.4333333333333333,3.6923076923076925,6.384615384615385,2.731230769230769,4.615384615384615,-0.7692307692307692,-3.009961538461539,5.563574353531918,0.0,0.0,-9.81
44,1.4666666666666666,3.846153846153846,6.3589743589743595,2.6254487179487183,4.615384615384615,-0.7692307692307692,-3.336961538461537,5.747069116813538,0.0,0.0,-9.81
45,1.5,4.0,6.333333333333333,2.5087666666666673,4.615384615384615,-0.7692307692307692,-3.663961538461537,5.942903775056919,0.0,0.0,-9.81
